PNM ID,Last Name,First Name,Major,Minor,Year,Hometown,Hobbies,College Involvement,High School Involvement
1,Henderson,Beatrix,Digital Media,French,Freshman,"New Haven, CT","Thrifting, Snowboarding, Piano","Urban Sketching Club, Product Management Club",National Honor Society
2,Nagiub,Isabella,Information Sciences,Ethics,Freshman,"Oakland, CA","Photography, Creative Writing","Consulting Club, Outing Club, Product Management Club",National Honor Society
3,O'Connor,Blair,Psychology,Business,Freshman,"Dayton, OH","Audio Editing, Photo Editing","Pre-Health Society, TV/Media Club",National Honor Society
4,Jones,Hannah,Chemical Engineering,Data Science,Freshman,"Memphis, TN","Kayaking, Photography","Hackathon Org, Entrepreneurship Club","Band, Varsity Lacrosse, Student Government President"
5,Bennett,Madison,International Studies,French,Freshman,"Evanston, IL","Pickleball, Houseplant Collecting","Film Club, Honors Society, Debate Society",National Honor Society
6,Thomas,Aurora,Chemical Engineering,International Relations,Sophomore,"Santa Monica, CA","Painting, Bread Making, Sustainability Projects","Hackathon Org, International Affairs Club",National Honor Society
7,Petrov,Hazel,Special Education,Communication Arts,Freshman,"Rochester, NY","Blog Writing, Strength Training, Vintage Collecting","Student Programming Association, Orientation Leader Program",National Honor Society
8,White,Lucia,Broadcast Journalism,Ethics,Sophomore,"State College, PA","Sudoku, Indoor Cycling, Gaming","Wellness Club, Case Competition Team, Club Volleyball","Committee Lead, Team Captain"
9,Vance,Hazel,Italian,Political Science,Freshman,"Stamford, CT","Content Creation, Surfing, Houseplant Collecting","Design Club, Orientation Leader Program, Sustainability Club",National Honor Society
10,Kapoor,Priya,Cybersecurity,Psychology,Sophomore,"Tampa, FL","Pilates, Film Photography","Volunteer Tutoring, Debate Society, Daily Collegian",Committee Lead
11,Harris,Lily,Economics,Arabic,Freshman,"Montreal, QC","Dance, Bread Making","Club Volleyball, Pre-Health Society, Pre-Law Society",National Honor Society
12,Lee,Sofia,Mathematics,Psychology,Freshman,"Media, PA","Trail Running, Podcast Hosting","Honors Society, Design Club, Math Club",National Honor Society
13,Montgomery,Rowan,Biology,Health Policy,Freshman,"Tucson, AZ","Piano, Swimming","Design Club, TV/Media Club, Consulting Club",National Honor Society
14,Brown,Nina,Elementary Education,Sustainability,Sophomore,"West Chester, PA","Sustainability Projects, Pilates Reformer, Rock Climbing","Hackathon Org, Model UN",Committee Lead
15,Petrov,Yasmin,Accounting,Studio Art,Freshman,"Fort Worth, TX","Paddleboarding, Pickleball","Campus Radio, Outing Club",National Honor Society
